food;price
Biscoito Francês CASINO Palmiers Caixa 256g;24.49
Bebida a Base de Soja Ades Frutas Sabor Maçã TP 200ML;2.09
Cápsulas de Café DELTA  Qharacter com 10 Unidades;17.99
Cápsulas de Café DELTA DEQAFEINATUS Contém 10 Unidades;17.99
Cápsulas de Café DELTA Qonvivium com 10 Unidades;17.99
Iogurte Light com Polpa de Ameixa TAEQ 900g;9.99
Iogurte Light com Polpa de Pessego TAEQ 170g;2.39
Coco Ralado Adoçado QUALITÁ 100g;4.19
Massa para Panqueca MASSA LEVE 300g;9.99
Marshmallow FINI Torção Pacote 60g;6.99
Goma de Mascar Sabor Canela TRIDENT 8g com 5 Unidades;2.19
Goma de Mascar Sabor Canela TRIDENT 8g com 5 Unidades;2.19
Massa Folhada Laminada Congelada MASSA LEVE 300g;12.49
Torrada Canapés Light Orgânica BIO PHORMA 100g;6.15
Torrada Canapés Linhaça Orgânica BIO PHORMA 100g;6.15
Torrada Canapés Integral Orgânica BIO PHORMA 100g;6.15
Geleia Francesa de Laranja Kinkan ST.DALFOUR Vidro 284g;28.79
Goma Mascar Sabor Hortelã TRIDENT 8g;2.19
Macarrão Grano Duro Integral Espaguete PETYBON Pacote 500g;6.59
Canelone 4 Queijos DONA THEREZA 400g;24.90
Rondelli Presunto e Queijo Zero Gorduras Trans DONA THEREZA Pacote 400g;24.90
Nhoque Caseiro DONA THEREZA 500g;14.90
Massa para Lazanha e Canelone DONA THEREZA 500g;14.90
KIT CHEFTIME Penne Alfredo com Sálvia e Sal Rosa do Himalaia;37.79
Biscoito Cookie Integral Granola e Mel Marilan Lev Pacote 80g;3.19
Biscoito Cookie Integral Cacau e Cereais Marilan Lev Pacote 80g;3.19
Chá Misto em Cápsula Camomila, Cidreira & Maracujá Chá Leão Frutas & Flores Caixa 20g 10 Unidades;18.99
Ameixa em Calda QUALITÁ 150g;6.59
Ameixa Seca QUALITÁ 150g;6.59
Burritos de Frango NACHO LOCO 450g com 4 Unidades;18.79
Steak Burguer Fraldinha VPJ 420g;23.99
Manteiga com Sal TOURINHO Tablete 200 g;9.71
Cafe Especial em Cápsula Octavio Acentuado Intens  9;19.49
Hambúrguer de Frango SADIA Caixa 672g;19.90
Patê de Atum Tradicional COQUEIRO 170g;11.29
Patê de Atum com Azeitona COQUEIRO Sachê 170g;11.29
Molho de Pimenta Extraforte com Azeite Gallo Vidro 50ml;25.49
Pasta de Amendoim Gourmet Amendolovers The Cookies Pote 500g;22.99
Hot hit cheddar Seara 145g;5.29
Waffles Light GULI GULI 280g com 4 Unidades;15.75
Legumitos Tomate E Ervas Fit Food  33g ;10.29
Fit Food Legumitos Queijo 33g;10.29
Canjiquinha de Milho YOKI Caixa 200g;5.29
Sorvete Cheesecake HÄAGEN DAZS Pote 473ml;45.99
Chocolate GAROTO Cores 90g;4.99
Aveia em Flocos Finos NATIVE Caixa 250g;7.19
	Biscoito Recheado Coberto Chocolate Negresco 120g;7.59
Salgadinho de Trigo Cebola e Salsa Qualitá Pacote 50g ;1.69
Massa para Pastel Rolo MEZZANI 500g;7.49
Bebida a Base de Soja Ades Frutas Sabor Abacaxi TP 200ML;2.09
Carpaccio MAGAZZINO Caixa 200g;25.49
Achocolatado em Pó NESTLÉ Galak 200g;6.69
Mentos Frutas Vermelhas 37,5g;2.49
Mistura para Bolo Sabor Brigadeiro Dr. OETKER Caixa 550g;13.79
Confeitos Fruit MENTOS 38g;2.49
Tempero para Legumes, Verduras e Arroz Mais Sabor KITANO 60g;2.99
Mistura Pronta para Empanar à Milanesa YOKI Pacote 300g;10.99
Confeitos Color Bolinhas Decor Festa Dr. OETKER Pacote 80g;10.79
Gelatina em Pó Sabor Amora Diet Dr. OETKER Caixa 12g;2.75
Cebola Picada com Sal QUALITÁ Pote 300g;11.90
Sorvete Chambinho Nestlé Pote 1l;25.99
Iogurte Desnatado Frutas Vermelhas, Aveia e Hibisco Zero Lactose Nestlé Nesfit Squeeze 150g;4.39
Pizza de Mussarela SADIA 440g;13.19
Chocolate Branco para Cobertura GAROTO Barra 500g;32.49
Molho Barbecue Hellmann´s Tradicional 400g;21.79
Linguiça Fininha Picante Primor 150g;20.49
Tomate Pera Orgânico TAEQ Bandeja 250g;7.99
Lasanha à Bolonhesa MASSA LEVE Caixa 600g;10.49
Cereal em Barra Sabor Coco, Iogurte, Creme de Limão e Chocolate Light TAEQ 66g Caixa com 3 Unidades;3.69
Macarrão Italiano Conchiglione DE CECCO Pacote 500g;22.99
Café em Cápsula NESCAFÉ DOLCE GUSTO Chococino 16 Cápsulas;23.49
Azeite Chileno de Oliva Extra Virgem Orgânico NATIVE Vidro 250ml;29.99
Cereal em Barra Sabor Coco NUTRY 57g Caixa com 3 Unidades;7.79
Texas burguer 672g;16.79
Cappuccino Classic 3 CORAÇÕES 200g Caixa com 10 Sachês;13.75
Patê de presunto Seara 100g;3.59
Goma de Mascar FINI Salada de Frutas Pacote 80g;6.99
Sal Grosso Temperado KITANO Pacote 500g;6.15
Biscoito Amanteigado Coco Marilan Pacote 330g;6.35
Cappuccino Tradicional NESCAFÉ Pote 200g;13.50
Doce de Banana Cremosa QUALITÁ Vidro 410g;13.99
Bebida Láctea Fermentada sabor Morango BATAVO 180g;1.89
Bebida Láctea Fermentada com Polpa de Morango Zero Pense BATAVO 170g;1.89
Bebida Láctea Fermentada com Polpa de Morango Zero Pense BATAVO 170g;1.89
Mostarda Francesa Délices CASINO Vidro 200g;19.99
Lasanha Francesa CASINO Caixa 500g;21.99
Mostarda Francesa CASINO Vidro 350g;25.99
Mix de Cereais Trato MÃE TERRA 200g;10.29
Biscoito ADRIA Tortinha Recheado de Morango Pacote 160g;2.45
Granola Integral Mel e Frutas Zero Gorduras Trans JASMINE Grain Flakes Pacote 300g;10.29
Mortadela Light Fatiada CERATTI 100g;4.99
Pó para Pudim Sabor Caramelo ROYAL 50g;2.69
Confeito Miçanga de Chocolate Decor Festa Dr. OETKER Pacote 80g;6.29
Yakisoba SADIA Caixa 600g;16.39
Biscoito ADRIA Mousse Chocolate Meio Amargo Pacote 150g;2.89
Café Pilão Torrado E Moído Intenso Almofada 500g;10.99
Patê de Atum Light GOMES DA COSTA 150g;10.79
Mirtilo Berrygood 125g;12.39
Tomate Italiano Orgânico TAEQ Bandeja 500g;9.90
Sardella DE TOMMASO 150g;16.99
Manteiga com Sal QUALITÁ Pote 200g;8.99
Ravioli com Recheio de Carne MASSA LEVE 400g;9.19
Sopão de Galinha com Macarrão KITANO Pacote 196g;6.59
Pudim Sabor Baunilha ROYAL 50g;2.69
Sopão de Carne com Macarrão e Legumes KITANO 196g;6.59
Folhado de Frango FORNO DE MINAS 240g;9.19
Baby Beef Pedaço Bandeja 400g;25.20
Presunto Royale Fatiado SADIA Bandeja 150g;8.92
Pig Beef Fatiado CERATTI Bandeja 150g;5.99
Salame Hamburgues Fatiado SADIA Bandeja 150g;10.95
Coxão Mole Capa Bovino Resfriado Bandeja 500g;21.50
Blanquet de Peru Light Fatiado SADIA Bandeja 150g;6.78
Contra Filé Maturatta FRIBOI Resfriado Pedaço 1kg;56.99
Peito de Frango Defumado Light Fatiado SEARA Bandeja 150g;5.56
Queijo Prato Lanche QUATÁ 470g;32.37
Queijo Mussarela Pedaço Bandeja 500g;18.45
Coxão Duro em Bife Resfriado 500g;19.25
Linguiça Toscana SEARA Bandeja 500g;11.49
Apresuntado SEARA Fatiado 150g;2.34
Zero-Cal Aspartame Adoçante Líquido 100ml;17.29
Salgadinho de Trigo de Bacon Elma Chips Baconzitos Pacote 55g;4.85
Lombo Suíno Resfriado Temperado QUALITÁ 800g;21.43
Geleia de Amora Queensberry Classic 320g;18.29
Biscoito Alemão BAHLSEN Waffeltten Milk Caixa 100g;24.79
Biscoito Alemão BAHLSEN First Class Caixa 125g;24.79
Amaciante de Carne com Tempero MAGGI Vidro 120g;7.49
Geleia Francesa de Ameixa ST. DALFOUR Vidro 284g;28.79
